By Abstract,By Title,Title
,,[4 different nitrate preparations with regard to the possible development of tolerance in long-term treatment].
,,[A clinicopathologic study of valvular aortic stenosis in the aged].
,,[A study to the analysis of systolic time intervals (author's transl)].
,,[Activation sequence of the left atrium studied by esophageal leads].
,,[Alcoholic cardiomyopathy in the preclinical stage: non-invasive clinico-instrumental research study on 112 chronic alcoholics].
,,[Chronocardiometry in healthy children. II. Diastolic time intervals].
,,[Clinical and experimental study of left ventricular diastolic function in heart qi insufficiency syndrome].
,,[Comparative monitoring of pre-ejection-period and transcutaneously measured pO2 in neonatal period (author's transl)].
,,[Comparitive [Comparative] study of the indexes of pulmonary arterial pressure of healthy children at different altitudes by Doppler echocardiography].
,,[Dose-effect relation of N-prajmalium bitartrate with control of plasma levels].
,,"[Dynamics of left ventricular contraction in patients with myocardial infarction after hospital rehabilitation, assessed by Doppler echocardiography]."
,,[Echocardiograms of a monophasic triangular wave of the tricuspid valve].
,,[Effect of ergonovine and the cold stress test on time intervals of left ventricular systole and their significance for the diagnosis of coronary heart disease].
,,[Effects of the administration of acebutolol in patients with chronic angina of effort].
,,[Electrocardiographic signs of atrial overload in hypertension].
,,"[Evaluation of late surgical results in coronary disease supported by exercise stress test, noninvasive examination and work resumption]."
,,[Exertion-electrocardiographic and hemodynamic studies with oral verapamil in chronic ischemic heart disease].
,,[Existence of asymptomatic changes in left ventricular function in the diabetic. Noninvasive study].
,,[Experimental observation on the relation between pericardium meridian and cardiac function].
,,[Hypertensive cardiopathy: study of external tracings and noninvasive tests].
,,[Influence of ventriculoatrial conduction on hemodynamic consequences in patients with artificial pacing].
,,[Investigations of the left ventricular dynamics in stable-angina pectoris (AP)].
,,[Left ventricular function in patient with diabetes mellitus--Evaluated by mechanocardiogram and echocardiogram].
,,[Long-term therapy of chronic cardiac insufficiency using enoximone].
,,[Measurement of systolic time intervals by echocardiographic and conventional methods (author's transl)].
,,[Monitoring of heart function in the treatment with cardiotoxic cytostatic drugs].
,,[Monitoring of Myocardial function during therapy with cardiotoxic cytostatics. Studies with the example of anthracycline-containing chemotherapy].
,,"[New, non-invasive index for recognition of the early stages of cardiac insufficiency]."
,,[Noninvasive cardia function diagnosis in children treated with adriamycin (author's transl)].
,,[Noninvasive evaluation of left ventricular function using new systolic time intervals obtained from continuous-wave Doppler echocardiography].
,,"[Noninvasive hemodynamic monitoring via the integration of data obtained by ECG, aortic flow by Doppler esophageal probe and by finger plethysmography]."
,,[Non-invasive study of cardiovascular function using models of biological age].
,,[Pharmacokinetics and acute signs of cardiac toxicity during doxorubicin therapy].
,,[Phase analysis of the normal and postectopic left ventricular contractions in nonejection click-telesystolic apical murmur syndrome].
,,[Phono-mechano-cardiographic assessment in hypertensive heart disease: value of the apex cardiographic parameters (author's transl)].
,,[Pulsed Doppler echocardiographic findings in 117 professional cyclists].
,,[Serum levels of beta-methyldigoxin and contractile efficiency of the myocardium evaluated with systolic polygraphy and determination of cardiac output].
,,[Systolic time intervals of the left ventricle in neuromuscular diseases].
,,[The pre-ejection-period of the human fetal heart: patterns of change during labour and heart-frequency alterations (author's transl)].
,,[The stress systolic time intervals in the diagnosis of ischaemic heart disease. Study of the recovery in patients with persistent ischemia (author's transl)].
,,[Use of systolic times and electrocardiography for the evaluation of left ventricle involvement in aortic valve diseases].
,,[Usefulness of rapid bedside assay of cardiac troponin I and creatine phosphokinase-MB in acute ischemic coronary syndromes].
,,[Value of the analysis of left-ventricular systolic time intervals in the diagnosis of ischemic heart disease provoked by intravenous infusion of isoproterenol].
,,[Variation of cardiac cycle during prolonged cycling exercise].
